page,image,question_index,question_text,option1,option2,option3,option4,option5,Answer,trial,reading,readingCond,questionCond,instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,probesLoop.thisRepN,probesLoop.thisTrialN,probesLoop.thisN,probesLoop.thisIndex,repeatLoop.thisRepN,repeatLoop.thisTrialN,repeatLoop.thisN,repeatLoop.thisIndex,questionsLoop.thisRepN,questionsLoop.thisTrialN,questionsLoop.thisN,questionsLoop.thisIndex,readingLoop.thisRepN,readingLoop.thisTrialN,readingLoop.thisN,readingLoop.thisIndex,image_lexical,image_gibberish,hash_code,text_instructions_top.started,text_instructions_top.stopped,instructions_image.started,instructions_image.stopped,text_instructions_bottom.started,text_instructions_bottom.stopped,key_resp_instructions.keys,key_resp_instructions.rt,key_resp_instructions.started,key_resp_instructions.stopped,wait_resp.started,wait_text.started,wait_resp.keys,wait_resp.rt,beginning_text.started,beginning_text.stopped,error_type,participant,session,type,is_tracker_connected,is_eeg_collected,date,expName,psychopyVersion,frameRate,
0,practice/halteres_control_page00.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,95518-5478,24.227023666957393,None,24.227023666957393,None,24.227023666957393,None,space,0.16792012506630272,24.227023666957393,None,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
1,practice/halteres_control_page01.png,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
2,practice/halteres_control_page02.png,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
,,0,How were halteres used by long jumpers?,They were attached to the chest to simulate heavy armor,They were carried to simulate jumping with heavy weapons in battle,They were swung to help the athlete jump farther,They were placed on the foot and lifted to strengthen the leg muscles,I am not sure,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
,,1,What was a haltere shaped like?,A dumbbell,Half of an ellipse,A circle,A trapezoid,I am not sure,2,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
,,2,"In addition to long jumping and weight training, halteres were carried while: ",Swimming,Swordfighting,Doing Situps,Running,I am not sure,4,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
,,3,I was able to read and understand the text and questions,strongly disagree,disagree,neutral,agree,strongly agree,None,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
,,4,I had prior knowledge that helped me answer the questions,strongly disagree,disagree,neutral,agree,strongly agree,None,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
,,,,,,,,,,2,Pluto,pluto.xlsx,questions/pluto_questions.xlsx,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,31.190150666981936,31.190150666981936,t,1.1458105419296771,,,,22,1,self-report,False,False,2023_Oct_20_1348,MindlessReading,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.35171375004575,None,control,,,,,,,,,,
