,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
0,The,68,1,62,24,0,99.0,13.0,0.016643550624133148,0.03263157894736842,0
1,history,155,0,152,30,0,231.0,15.0,0.020804438280166437,0.08,0
2,of,332,2,39,23,0,351.5,13.5,0.0159500693481276,0.020526315789473684,0
3,film,399,0,85,25,0,441.5,12.5,0.017337031900138695,0.04473684210526316,0
4,began,506,1,110,30,0,561.0,16.0,0.020804438280166437,0.05789473684210526,0
5,in,642,0,40,25,0,662.0,12.5,0.017337031900138695,0.021052631578947368,0
6,the,707,1,61,24,0,737.5,13.0,0.016643550624133148,0.032105263157894734,0
7,"1890s,",795,4,121,25,0,855.5,16.5,0.017337031900138695,0.06368421052631579,0
8,with,946,0,88,25,0,990.0,12.5,0.017337031900138695,0.04631578947368421,0
9,the,1059,1,61,24,0,1089.5,13.0,0.016643550624133148,0.032105263157894734,0
10,invention,1148,0,194,25,0,1245.0,12.5,0.017337031900138695,0.10210526315789474,0
11,of,1366,2,39,23,0,1385.5,13.5,0.0159500693481276,0.020526315789473684,0
12,motion,1430,0,132,25,0,1496.0,12.5,0.017337031900138695,0.06947368421052631,0
13,picture,1584,0,152,31,0,1660.0,15.5,0.021497919556171984,0.08,0
14,cameras,2,97,150,18,0,77.0,106.0,0.012482662968099861,0.07894736842105263,0
15,and,178,91,64,24,0,210.0,103.0,0.016643550624133148,0.03368421052631579,0
16,the,267,91,61,24,0,297.5,103.0,0.016643550624133148,0.032105263157894734,0
17,establishment,354,90,282,25,0,495.0,102.5,0.017337031900138695,0.14842105263157895,0
18,of,662,92,39,23,0,681.5,103.5,0.0159500693481276,0.020526315789473684,0
19,film,729,90,85,25,0,771.5,102.5,0.017337031900138695,0.04473684210526316,0
20,production,836,90,220,31,0,946.0,105.5,0.021497919556171984,0.11578947368421053,0
21,companies.,1080,90,210,31,0,1185.0,105.5,0.021497919556171984,0.11052631578947368,0
22,The,1322,91,62,24,0,1353.0,103.0,0.016643550624133148,0.03263157894736842,0
23,films,1411,90,105,25,0,1463.5,102.5,0.017337031900138695,0.05526315789473684,0
24,of,1542,92,39,23,0,1561.5,103.5,0.0159500693481276,0.020526315789473684,0
25,the,1609,91,61,24,0,1639.5,103.0,0.016643550624133148,0.032105263157894734,0
26,1890s,1697,94,105,21,0,1749.5,104.5,0.014563106796116505,0.05526315789473684,0
27,were,0,188,86,17,0,43.0,196.5,0.011789181692094313,0.045263157894736845,0
28,under,111,181,106,24,0,164.0,193.0,0.016643550624133148,0.05578947368421053,0
29,a,244,188,19,17,0,253.5,196.5,0.011789181692094313,0.01,0
30,minute,286,180,130,25,0,351.0,192.5,0.017337031900138695,0.06842105263157895,0
31,long,443,181,85,30,0,485.5,196.0,0.020804438280166437,0.04473684210526316,0
32,and,552,181,64,24,0,584.0,193.0,0.016643550624133148,0.03368421052631579,0
33,until,639,180,106,25,0,692.0,192.5,0.017337031900138695,0.05578947368421053,0
34,"1927,",773,184,99,25,0,822.5,196.5,0.017337031900138695,0.05210526315789474,0
35,motion,902,180,132,25,0,968.0,192.5,0.017337031900138695,0.06947368421052631,0
36,pictures,1056,180,174,31,0,1143.0,195.5,0.021497919556171984,0.09157894736842105,0
37,were,1254,188,86,17,0,1297.0,196.5,0.011789181692094313,0.045263157894736845,0
38,produced,1364,181,176,30,0,1452.0,196.0,0.020804438280166437,0.09263157894736843,0
39,without,1562,180,152,25,0,1638.0,192.5,0.017337031900138695,0.08,0
40,sound.,1741,181,121,24,0,1801.5,193.0,0.016643550624133148,0.06368421052631579,0
41,The,2,271,62,24,0,33.0,283.0,0.016643550624133148,0.03263157894736842,0
42,first,91,270,105,25,0,143.5,282.5,0.017337031900138695,0.05526315789473684,0
43,eleven,222,271,130,24,0,287.0,283.0,0.016643550624133148,0.06842105263157895,0
44,years,374,277,108,23,0,428.0,288.5,0.0159500693481276,0.056842105263157895,0
45,of,508,272,39,23,0,527.5,283.5,0.0159500693481276,0.020526315789473684,0
46,motion,572,270,132,25,0,638.0,282.5,0.017337031900138695,0.06947368421052631,0
47,pictures,726,270,174,31,0,813.0,285.5,0.021497919556171984,0.09157894736842105,0
48,show,927,271,85,24,0,969.5,283.0,0.016643550624133148,0.04473684210526316,0
49,the,1037,271,61,24,0,1067.5,283.0,0.016643550624133148,0.032105263157894734,0
50,cinema,1124,270,129,25,0,1188.5,282.5,0.017337031900138695,0.06789473684210526,0
51,moving,1276,270,132,31,0,1342.0,285.5,0.021497919556171984,0.06947368421052631,0
52,from,1433,272,85,23,0,1475.5,283.5,0.0159500693481276,0.04473684210526316,0
53,a,1542,278,19,17,0,1551.5,286.5,0.011789181692094313,0.01,0
54,novelty,1585,271,152,29,0,1661.0,285.5,0.02011095700416089,0.08,0
55,to,1763,274,39,21,0,1782.5,284.5,0.014563106796116505,0.020526315789473684,0
56,an,1828,278,42,17,0,1849.0,286.5,0.011789181692094313,0.022105263157894735,0
57,established,2,360,240,25,0,122.0,372.5,0.017337031900138695,0.12631578947368421,0
58,large-scale,267,361,237,30,0,385.5,376.0,0.020804438280166437,0.12473684210526316,0
59,entertainment,530,360,282,25,0,671.0,372.5,0.017337031900138695,0.14842105263157895,0
60,industry.,840,360,186,30,0,933.0,375.0,0.020804438280166437,0.09789473684210526,0
61,The,1058,361,62,24,0,1089.0,373.0,0.016643550624133148,0.03263157894736842,0
62,films,1147,360,105,25,0,1199.5,372.5,0.017337031900138695,0.05526315789473684,0
63,became,1276,361,130,24,0,1341.0,373.0,0.016643550624133148,0.06842105263157895,0
64,several,1433,361,148,24,0,1507.0,373.0,0.016643550624133148,0.07789473684210527,0
65,minutes,1606,360,152,25,0,1682.0,372.5,0.017337031900138695,0.08,0
66,long,1785,361,85,30,0,1827.5,376.0,0.020804438280166437,0.04473684210526316,0
67,consisting,2,450,218,31,0,111.0,465.5,0.021497919556171984,0.11473684210526315,0
68,of,244,452,39,23,0,263.5,463.5,0.0159500693481276,0.020526315789473684,0
69,several,311,451,148,24,0,385.0,463.0,0.016643550624133148,0.07789473684210527,0
70,shots.,487,451,121,24,0,547.5,463.0,0.016643550624133148,0.06368421052631579,0
71,The,640,451,62,24,0,671.0,463.0,0.016643550624133148,0.03263157894736842,0
72,first,729,450,105,25,0,781.5,462.5,0.017337031900138695,0.05526315789473684,0
73,rotating,860,450,174,31,0,947.0,465.5,0.021497919556171984,0.09157894736842105,0
