,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
0,Pluto,68,1,106,24,0,121.0,13.0,0.016643550624133148,0.05578947368421053,0
1,(minor-planet,208,0,274,31,0,345.0,15.5,0.021497919556171984,0.14421052631578948,0
2,designation:,507,0,255,31,0,634.5,15.5,0.021497919556171984,0.13421052631578947,0
3,134340,795,4,126,21,0,858.0,14.5,0.014563106796116505,0.06631578947368422,0
4,Pluto),948,1,120,27,0,1008.0,14.5,0.01872399445214979,0.06315789473684211,0
5,is,1104,0,38,25,0,1123.0,12.5,0.017337031900138695,0.02,0
6,a,1168,8,19,17,0,1177.5,16.5,0.011789181692094313,0.01,0
7,dwarf,1211,1,106,24,0,1264.0,13.0,0.016643550624133148,0.05578947368421053,0
8,planet,1342,1,130,30,0,1407.0,16.0,0.020804438280166437,0.06842105263157895,0
9,in,1500,0,40,25,0,1520.0,12.5,0.017337031900138695,0.021052631578947368,0
10,the,1565,1,61,24,0,1595.5,13.0,0.016643550624133148,0.032105263157894734,0
11,Kuiper,1651,0,128,31,0,1715.0,15.5,0.021497919556171984,0.06736842105263158,0
12,"belt,",0,91,102,28,0,51.0,105.0,0.019417475728155338,0.05368421052631579,0
13,a,134,98,19,17,0,143.5,106.5,0.011789181692094313,0.01,0
14,ring,178,90,86,31,0,221.0,105.5,0.021497919556171984,0.045263157894736845,0
15,of,288,92,39,23,0,307.5,103.5,0.0159500693481276,0.020526315789473684,0
16,bodies,352,90,130,25,0,417.0,102.5,0.017337031900138695,0.06842105263157895,0
17,beyond,506,91,132,29,0,572.0,105.5,0.02011095700416089,0.06947368421052631,0
18,Neptune.,660,94,168,27,0,744.0,107.5,0.01872399445214979,0.08842105263157894,0
19,It,861,94,39,21,0,880.5,104.5,0.014563106796116505,0.020526315789473684,0
20,was,924,97,64,18,0,956.0,106.0,0.012482662968099861,0.03368421052631579,0
21,the,1015,91,61,24,0,1045.5,103.0,0.016643550624133148,0.032105263157894734,0
22,first,1103,90,105,25,0,1155.5,102.5,0.017337031900138695,0.05526315789473684,0
23,Kuiper,1233,90,128,31,0,1297.0,105.5,0.021497919556171984,0.06736842105263158,0
24,belt,1386,91,86,24,0,1429.0,103.0,0.016643550624133148,0.045263157894736845,0
25,object,1498,90,128,31,0,1562.0,105.5,0.021497919556171984,0.06736842105263158,0
26,to,1653,94,39,21,0,1672.5,104.5,0.014563106796116505,0.020526315789473684,0
27,be,1716,91,42,24,0,1737.0,103.0,0.016643550624133148,0.022105263157894735,0
28,discovered.,1,180,233,25,0,117.5,192.5,0.017337031900138695,0.12263157894736842,0
29,It,267,184,39,21,0,286.5,194.5,0.014563106796116505,0.020526315789473684,0
30,is,334,180,38,25,0,353.0,192.5,0.017337031900138695,0.02,0
31,the,399,181,61,24,0,429.5,193.0,0.016643550624133148,0.032105263157894734,0
