,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
0,Halteres,67,1,173,24,0,153.5,13.0,0.016643550624133148,0.09105263157894737,0
1,were,264,8,86,17,0,307.0,16.5,0.011789181692094313,0.045263157894736845,0
2,a,376,8,19,17,0,385.5,16.5,0.011789181692094313,0.01,0
3,type,421,4,83,27,0,462.5,17.5,0.01872399445214979,0.04368421052631579,0
4,of,530,2,39,23,0,549.5,13.5,0.0159500693481276,0.020526315789473684,0
5,dumbbells,595,1,195,24,0,692.5,13.0,0.016643550624133148,0.10263157894736842,0
6,used,815,1,87,24,0,858.5,13.0,0.016643550624133148,0.045789473684210526,0
7,in,928,0,40,25,0,948.0,12.5,0.017337031900138695,0.021052631578947368,0
8,Ancient,990,0,152,25,0,1066.0,12.5,0.017337031900138695,0.08,0
9,Greece.,1167,4,145,21,0,1239.5,14.5,0.014563106796116505,0.07631578947368421,0
10,In,1345,4,41,21,0,1365.5,14.5,0.014563106796116505,0.02157894736842105,0
11,Ancient,1408,0,152,25,0,1484.0,12.5,0.017337031900138695,0.08,0
12,Greek,1585,1,108,24,0,1639.0,13.0,0.016643550624133148,0.056842105263157895,0
13,"sports,",1719,4,143,27,0,1790.5,17.5,0.01872399445214979,0.07526315789473684,0
14,halteres,1,91,173,24,0,87.5,103.0,0.016643550624133148,0.09105263157894737,0
15,were,198,98,86,17,0,241.0,106.5,0.011789181692094313,0.045263157894736845,0
16,used,309,91,87,24,0,352.5,103.0,0.016643550624133148,0.045789473684210526,0
17,as,420,97,40,18,0,440.0,106.0,0.012482662968099861,0.021052631578947368,0
18,lifting,487,90,151,31,0,562.5,105.5,0.021497919556171984,0.07947368421052632,0
19,"weights,",660,90,168,31,0,744.0,105.5,0.021497919556171984,0.08842105263157894,0
20,and,860,91,64,24,0,892.0,103.0,0.016643550624133148,0.03368421052631579,0
21,also,948,91,84,24,0,990.0,103.0,0.016643550624133148,0.04421052631578947,0
22,as,1058,97,40,18,0,1078.0,106.0,0.012482662968099861,0.021052631578947368,0
23,weights,1122,90,152,31,0,1198.0,105.5,0.021497919556171984,0.08,0
24,in,1302,90,40,25,0,1322.0,102.5,0.017337031900138695,0.021052631578947368,0
25,their,1367,90,104,25,0,1419.0,102.5,0.017337031900138695,0.05473684210526316,0
26,version,1496,90,154,25,0,1573.0,102.5,0.017337031900138695,0.08105263157894736,0
27,of,1674,92,39,23,0,1693.5,103.5,0.0159500693481276,0.020526315789473684,0
28,the,1741,91,61,24,0,1771.5,103.0,0.016643550624133148,0.032105263157894734,0
29,long,3,181,85,30,0,45.5,196.0,0.020804438280166437,0.04473684210526316,0
30,jump.,112,180,100,31,0,162.0,195.5,0.021497919556171984,0.05263157894736842,0
31,Halteres,243,181,173,24,0,329.5,193.0,0.016643550624133148,0.09105263157894737,0
32,were,440,188,86,17,0,483.0,196.5,0.011789181692094313,0.045263157894736845,0
33,held,551,181,87,24,0,594.5,193.0,0.016643550624133148,0.045789473684210526,0
34,in,664,180,40,25,0,684.0,192.5,0.017337031900138695,0.021052631578947368,0
35,both,726,181,88,24,0,770.0,193.0,0.016643550624133148,0.04631578947368421,0
36,hands,837,181,107,24,0,890.5,193.0,0.016643550624133148,0.05631578947368421,0
37,to,971,184,39,21,0,990.5,194.5,0.014563106796116505,0.020526315789473684,0
38,allow,1036,181,108,24,0,1090.0,193.0,0.016643550624133148,0.056842105263157895,0
39,an,1168,188,42,17,0,1189.0,196.5,0.011789181692094313,0.022105263157894735,0
40,athlete,1234,181,150,24,0,1309.0,193.0,0.016643550624133148,0.07894736842105263,0
41,to,1411,184,39,21,0,1430.5,194.5,0.014563106796116505,0.020526315789473684,0
42,jump,1476,180,85,31,0,1518.5,195.5,0.021497919556171984,0.04473684210526316,0
43,a,1586,188,19,17,0,1595.5,196.5,0.011789181692094313,0.01,0
44,greater,1630,184,149,27,0,1704.5,197.5,0.01872399445214979,0.07842105263157895,0
45,distance;,1,270,190,29,0,96.0,284.5,0.02011095700416089,0.1,0
46,they,223,271,84,29,0,265.0,285.5,0.02011095700416089,0.04421052631578947,0
47,may,330,278,65,22,0,362.5,289.0,0.015256588072122053,0.034210526315789476,0
48,have,419,271,85,24,0,461.5,283.0,0.016643550624133148,0.04473684210526316,0
49,been,528,271,88,24,0,572.0,283.0,0.016643550624133148,0.04631578947368421,0
50,dropped,639,271,153,30,0,715.5,286.0,0.020804438280166437,0.08052631578947368,0
51,after,816,272,105,23,0,868.5,283.5,0.0159500693481276,0.05526315789473684,0
52,the,949,271,61,24,0,979.5,283.0,0.016643550624133148,0.032105263157894734,0
53,first,1037,270,105,25,0,1089.5,282.5,0.017337031900138695,0.05526315789473684,0
54,or,1168,278,39,17,0,1187.5,286.5,0.011789181692094313,0.020526315789473684,0
55,second,1235,271,129,24,0,1299.5,283.0,0.016643550624133148,0.06789473684210526,0
56,jump.,1388,270,100,31,0,1438.0,285.5,0.021497919556171984,0.05263157894736842,0
57,The,68,361,62,24,0,99.0,373.0,0.016643550624133148,0.03263157894736842,0
58,jumping,156,360,152,31,0,232.0,375.5,0.021497919556171984,0.08,0
59,athlete,332,361,150,24,0,407.0,373.0,0.016643550624133148,0.07894736842105263,0
60,would,506,361,110,24,0,561.0,373.0,0.016643550624133148,0.05789473684210526,0
61,swing,641,360,107,31,0,694.5,375.5,0.021497919556171984,0.05631578947368421,0
62,the,773,361,61,24,0,803.5,373.0,0.016643550624133148,0.032105263157894734,0
63,weights,858,360,152,31,0,934.0,375.5,0.021497919556171984,0.08,0
64,backwards,1034,361,196,24,0,1132.0,373.0,0.016643550624133148,0.1031578947368421,0
65,and,1256,361,64,24,0,1288.0,373.0,0.016643550624133148,0.03368421052631579,0
66,forwards,1345,361,171,24,0,1430.5,373.0,0.016643550624133148,0.09,0
67,just,1542,360,84,31,0,1584.0,375.5,0.021497919556171984,0.04421052631578947,0
68,before,1650,361,130,24,0,1715.0,373.0,0.016643550624133148,0.06842105263157895,0
69,"take-off,",3,451,187,28,0,96.5,465.0,0.019417475728155338,0.09842105263157895,0
70,thrust,223,451,127,24,0,286.5,463.0,0.016643550624133148,0.0668421052631579,0
71,them,377,451,85,24,0,419.5,463.0,0.016643550624133148,0.04473684210526316,0
72,forwards,487,451,171,24,0,572.5,463.0,0.016643550624133148,0.09,0
73,during,683,450,131,31,0,748.5,465.5,0.021497919556171984,0.06894736842105263,0
74,"take-off,",839,451,187,28,0,932.5,465.0,0.019417475728155338,0.09842105263157895,0
75,and,1058,451,64,24,0,1090.0,463.0,0.016643550624133148,0.03368421052631579,0
76,swing,1147,450,107,31,0,1200.5,465.5,0.021497919556171984,0.05631578947368421,0
77,them,1279,451,85,24,0,1321.5,463.0,0.016643550624133148,0.04473684210526316,0
78,backwards,1386,451,196,24,0,1484.0,463.0,0.016643550624133148,0.1031578947368421,0
79,just,1608,450,84,31,0,1650.0,465.5,0.021497919556171984,0.04421052631578947,0
80,before,1716,451,130,24,0,1781.0,463.0,0.016643550624133148,0.06842105263157895,0
81,releasing,2,540,196,31,0,100.0,555.5,0.021497919556171984,0.1031578947368421,0
82,them,223,541,85,24,0,265.5,553.0,0.016643550624133148,0.04473684210526316,0
83,and,332,541,64,24,0,364.0,553.0,0.016643550624133148,0.03368421052631579,0
84,landing.,421,540,165,31,0,503.5,555.5,0.021497919556171984,0.0868421052631579,0
85,Halteres,617,541,173,24,0,703.5,553.0,0.016643550624133148,0.09105263157894737,0
86,were,814,548,86,17,0,857.0,556.5,0.011789181692094313,0.045263157894736845,0
87,made,924,541,86,24,0,967.0,553.0,0.016643550624133148,0.045263157894736845,0
88,of,1036,542,39,23,0,1055.5,553.5,0.0159500693481276,0.020526315789473684,0
89,stone,1103,544,105,21,0,1155.5,554.5,0.014563106796116505,0.05526315789473684,0
90,or,1234,548,39,17,0,1253.5,556.5,0.011789181692094313,0.020526315789473684,0
91,"metal,",1298,541,124,28,0,1360.0,555.0,0.019417475728155338,0.06526315789473684,0
92,and,1454,541,64,24,0,1486.0,553.0,0.016643550624133148,0.03368421052631579,0
93,weighed,1540,540,154,31,0,1617.0,555.5,0.021497919556171984,0.08105263157894736,0
94,between,1716,541,154,24,0,1793.0,553.0,0.016643550624133148,0.08105263157894736,0
95,2,2,634,16,21,0,10.0,644.5,0.014563106796116505,0.008421052631578947,0
96,and,46,631,64,24,0,78.0,643.0,0.016643550624133148,0.03368421052631579,0
97,9,136,634,15,21,0,143.5,644.5,0.014563106796116505,0.007894736842105263,0
98,kg,177,631,43,30,0,198.5,646.0,0.020804438280166437,0.022631578947368423,0
99,(4,252,631,31,27,0,267.5,644.5,0.01872399445214979,0.01631578947368421,0
100,and,310,631,64,24,0,342.0,643.0,0.016643550624133148,0.03368421052631579,0
101,20,398,634,39,21,0,417.5,644.5,0.014563106796116505,0.020526315789473684,0
102,lb).,465,631,77,27,0,503.5,644.5,0.01872399445214979,0.04052631578947368,0
103,They,574,631,85,29,0,616.5,645.5,0.02011095700416089,0.04473684210526316,0
104,added,684,631,108,24,0,738.0,643.0,0.016643550624133148,0.056842105263157895,0
105,about,816,631,106,24,0,869.0,643.0,0.016643550624133148,0.05578947368421053,0
106,17,949,634,38,21,0,968.0,644.5,0.014563106796116505,0.02,0
107,cm,1014,638,42,17,0,1035.0,646.5,0.011789181692094313,0.022105263157894735,0
108,(7,1088,631,31,27,0,1103.5,644.5,0.01872399445214979,0.01631578947368421,0
109,in),1148,630,52,28,0,1174.0,644.0,0.019417475728155338,0.02736842105263158,0
110,to,1235,634,39,21,0,1254.5,644.5,0.014563106796116505,0.020526315789473684,0
111,a,1300,638,19,17,0,1309.5,646.5,0.011789181692094313,0.01,0
112,3,1346,634,15,21,0,1353.5,644.5,0.014563106796116505,0.007894736842105263,0
113,m,1386,638,22,17,0,1397.0,646.5,0.011789181692094313,0.011578947368421053,0
114,(10,1440,631,53,27,0,1466.5,644.5,0.01872399445214979,0.027894736842105264,0
115,ft),1521,631,53,27,0,1547.5,644.5,0.01872399445214979,0.027894736842105264,0
116,long,1609,631,85,30,0,1651.5,646.0,0.020804438280166437,0.04473684210526316,0
117,jump.,1718,630,100,31,0,1768.0,645.5,0.021497919556171984,0.05263157894736842,0
118,According,0,721,198,31,0,99.0,736.5,0.021497919556171984,0.10421052631578948,0
119,to,223,725,39,21,0,242.5,735.5,0.014563106796116505,0.020526315789473684,0
120,"physiologists,",286,721,300,31,0,436.0,736.5,0.021497919556171984,0.15789473684210525,0
121,the,619,722,61,24,0,649.5,734.0,0.016643550624133148,0.032105263157894734,0
122,halteres,705,722,173,24,0,791.5,734.0,0.016643550624133148,0.09105263157894737,0
123,contributed,904,721,240,25,0,1024.0,733.5,0.017337031900138695,0.12631578947368421,0
124,to,1169,725,39,21,0,1188.5,735.5,0.014563106796116505,0.020526315789473684,0
125,a,1234,729,19,17,0,1243.5,737.5,0.011789181692094313,0.01,0
126,shift,1279,721,105,25,0,1331.5,733.5,0.017337031900138695,0.05526315789473684,0
127,in,1412,721,40,25,0,1432.0,733.5,0.017337031900138695,0.021052631578947368,0
128,the,1477,722,61,24,0,1507.5,734.0,0.016643550624133148,0.032105263157894734,0
129,body's,1562,722,130,29,0,1627.0,736.5,0.02011095700416089,0.06842105263157895,0
130,center,1718,725,127,21,0,1781.5,735.5,0.014563106796116505,0.0668421052631579,0
131,of,2,813,39,23,0,21.5,824.5,0.0159500693481276,0.020526315789473684,0
132,"gravity,",68,811,166,31,0,151.0,826.5,0.021497919556171984,0.08736842105263158,0
133,thus,267,812,83,24,0,308.5,824.0,0.016643550624133148,0.04368421052631579,0
134,increasing,378,811,216,31,0,486.0,826.5,0.021497919556171984,0.11368421052631579,0
135,a,618,819,19,17,0,627.5,827.5,0.011789181692094313,0.01,0
136,jumpers,662,811,150,31,0,737.0,826.5,0.021497919556171984,0.07894736842105263,0
137,arc,838,819,62,17,0,869.0,827.5,0.011789181692094313,0.03263157894736842,0
138,during,925,811,131,31,0,990.5,826.5,0.021497919556171984,0.06894736842105263,0
139,an,1080,819,42,17,0,1101.0,827.5,0.011789181692094313,0.022105263157894735,0
140,event.,1146,815,122,21,0,1207.0,825.5,0.014563106796116505,0.06421052631578947,0
141,Recognized,67,901,219,31,0,176.5,916.5,0.021497919556171984,0.11526315789473685,0
142,as,310,908,40,18,0,330.0,917.0,0.012482662968099861,0.021052631578947368,0
143,the,377,902,61,24,0,407.5,914.0,0.016643550624133148,0.032105263157894734,0
144,Greek,463,902,108,24,0,517.0,914.0,0.016643550624133148,0.056842105263157895,0
145,equivalent,596,901,216,31,0,704.0,916.5,0.021497919556171984,0.11368421052631579,0
146,of,838,903,39,23,0,857.5,914.5,0.0159500693481276,0.020526315789473684,0
147,modern-day,902,902,219,29,0,1011.5,916.5,0.02011095700416089,0.11526315789473685,0
148,"dumbbells,",1145,902,211,28,0,1250.5,916.0,0.019417475728155338,0.11105263157894738,0
149,the,1389,902,61,24,0,1419.5,914.0,0.016643550624133148,0.032105263157894734,0
150,halteres,1475,902,173,24,0,1561.5,914.0,0.016643550624133148,0.09105263157894737,0
151,served,1675,902,129,24,0,1739.5,914.0,0.016643550624133148,0.06789473684210526,0
152,multiple,0,991,174,31,0,87.0,1006.5,0.021497919556171984,0.09157894736842105,0
153,uses,199,998,85,18,0,241.5,1007.0,0.012482662968099861,0.04473684210526316,0
154,from,311,993,85,23,0,353.5,1004.5,0.0159500693481276,0.04473684210526316,0
155,training,421,991,173,31,0,507.5,1006.5,0.021497919556171984,0.09105263157894737,0
156,to,619,995,39,21,0,638.5,1005.5,0.014563106796116505,0.020526315789473684,0
157,competition.,684,991,254,31,0,811.0,1006.5,0.021497919556171984,0.1336842105263158,0
158,Ancient,968,991,152,25,0,1044.0,1003.5,0.017337031900138695,0.08,0
159,Greek,1145,992,108,24,0,1199.0,1004.0,0.016643550624133148,0.056842105263157895,0
160,records,1278,992,150,24,0,1353.0,1004.0,0.016643550624133148,0.07894736842105263,0
161,shows,1455,992,105,24,0,1507.5,1004.0,0.016643550624133148,0.05526315789473684,0
162,the,1587,992,61,24,0,1617.5,1004.0,0.016643550624133148,0.032105263157894734,0
163,evidence,1674,991,172,25,0,1760.0,1003.5,0.017337031900138695,0.09052631578947369,0
164,of,2,1083,39,23,0,21.5,1094.5,0.0159500693481276,0.020526315789473684,0
165,the,69,1082,61,24,0,99.5,1094.0,0.016643550624133148,0.032105263157894734,0
166,halteres,155,1082,173,24,0,241.5,1094.0,0.016643550624133148,0.09105263157894737,0
167,dating,353,1081,131,31,0,418.5,1096.5,0.021497919556171984,0.06894736842105263,0
168,to,509,1085,39,21,0,528.5,1095.5,0.014563106796116505,0.020526315789473684,0
169,as,574,1088,40,18,0,594.0,1097.0,0.012482662968099861,0.021052631578947368,0
170,far,641,1083,60,23,0,671.0,1094.5,0.0159500693481276,0.031578947368421054,0
171,back,726,1082,87,24,0,769.5,1094.0,0.016643550624133148,0.045789473684210526,0
172,as,838,1088,40,18,0,858.0,1097.0,0.012482662968099861,0.021052631578947368,0
173,700,905,1085,60,21,0,935.0,1095.5,0.014563106796116505,0.031578947368421054,0
174,BC.,991,1085,57,21,0,1019.5,1095.5,0.014563106796116505,0.03,0
175,In,1081,1085,41,21,0,1101.5,1095.5,0.014563106796116505,0.02157894736842105,0
176,Ancient,1144,1081,152,25,0,1220.0,1093.5,0.017337031900138695,0.08,0
177,"Greece,",1321,1085,145,25,0,1393.5,1097.5,0.017337031900138695,0.07631578947368421,0
178,exercise,1498,1081,172,25,0,1584.0,1093.5,0.017337031900138695,0.09052631578947369,0
179,and,1696,1082,64,24,0,1728.0,1094.0,0.016643550624133148,0.03368421052631579,0
180,training,3,1171,173,31,0,89.5,1186.5,0.021497919556171984,0.09105263157894737,0
181,was,198,1178,64,18,0,230.0,1187.0,0.012482662968099861,0.03368421052631579,0
182,highly,287,1171,130,31,0,352.0,1186.5,0.021497919556171984,0.06842105263157895,0
183,valued.,440,1172,146,24,0,513.0,1184.0,0.016643550624133148,0.07684210526315789,0
184,By,617,1175,42,26,0,638.0,1188.0,0.018030513176144243,0.022105263157894735,0
185,the,685,1172,61,24,0,715.5,1184.0,0.016643550624133148,0.032105263157894734,0
186,5th,773,1172,63,24,0,804.5,1184.0,0.016643550624133148,0.03315789473684211,0
187,Century,860,1175,151,26,0,935.5,1188.0,0.018030513176144243,0.07947368421052632,0
188,"BC,",1035,1175,57,25,0,1063.5,1187.5,0.017337031900138695,0.03,0
189,halteres,1123,1172,173,24,0,1209.5,1184.0,0.016643550624133148,0.09105263157894737,0
190,were,1320,1179,86,17,0,1363.0,1187.5,0.011789181692094313,0.045263157894736845,0
191,of,1432,1173,39,23,0,1451.5,1184.5,0.0159500693481276,0.020526315789473684,0
192,common,1498,1179,130,17,0,1563.0,1187.5,0.011789181692094313,0.06842105263157895,0
193,use,1651,1178,63,18,0,1682.5,1187.0,0.012482662968099861,0.03315789473684211,0
194,in,1742,1171,40,25,0,1762.0,1183.5,0.017337031900138695,0.021052631578947368,0
195,Ancient,0,1261,152,25,0,76.0,1273.5,0.017337031900138695,0.08,0
196,Greek,177,1262,108,24,0,231.0,1274.0,0.016643550624133148,0.056842105263157895,0
197,training,311,1261,173,31,0,397.5,1276.5,0.021497919556171984,0.09105263157894737,0
198,regimes.,508,1261,166,31,0,591.0,1276.5,0.021497919556171984,0.08736842105263158,0
199,Popularity,706,1261,217,31,0,814.5,1276.5,0.021497919556171984,0.11421052631578947,0
200,of,948,1263,39,23,0,967.5,1274.5,0.0159500693481276,0.020526315789473684,0
201,the,1015,1262,61,24,0,1045.5,1274.0,0.016643550624133148,0.032105263157894734,0
202,halteres,1101,1262,173,24,0,1187.5,1274.0,0.016643550624133148,0.09105263157894737,0
203,grew,1300,1269,86,23,0,1343.0,1280.5,0.0159500693481276,0.045263157894736845,0
204,globally,1410,1262,173,30,0,1496.5,1277.0,0.020804438280166437,0.09105263157894737,0
205,as,1608,1268,40,18,0,1628.0,1277.0,0.012482662968099861,0.021052631578947368,0
206,by,1672,1262,43,29,0,1693.5,1276.5,0.02011095700416089,0.022631578947368423,0
207,the,1741,1262,61,24,0,1771.5,1274.0,0.016643550624133148,0.032105263157894734,0
208,2nd,1828,1262,64,24,0,1860.0,1274.0,0.016643550624133148,0.03368421052631579,0
209,Century,2,1355,151,26,0,77.5,1368.0,0.018030513176144243,0.07947368421052632,0
210,"BC,",177,1355,57,25,0,205.5,1367.5,0.017337031900138695,0.03,0
211,famous,267,1353,127,23,0,330.5,1364.5,0.0159500693481276,0.0668421052631579,0
212,Greek,419,1352,108,24,0,473.0,1364.0,0.016643550624133148,0.056842105263157895,0
213,"physician,",550,1351,212,31,0,656.0,1366.5,0.021497919556171984,0.11157894736842106,0
214,"Galen,",793,1352,123,28,0,854.5,1366.0,0.019417475728155338,0.06473684210526316,0
215,came,948,1359,84,17,0,990.0,1367.5,0.011789181692094313,0.04421052631578947,0
216,up,1057,1359,42,23,0,1078.0,1370.5,0.0159500693481276,0.022105263157894735,0
217,with,1122,1351,88,25,0,1166.0,1363.5,0.017337031900138695,0.04631578947368421,0
218,a,1234,1359,19,17,0,1243.5,1367.5,0.011789181692094313,0.01,0
219,variety,1276,1351,153,30,0,1352.5,1366.0,0.020804438280166437,0.08052631578947368,0
220,of,1454,1353,39,23,0,1473.5,1364.5,0.0159500693481276,0.020526315789473684,0
221,exercises,1520,1351,194,25,0,1617.0,1363.5,0.017337031900138695,0.10210526315789474,0
222,that,1741,1352,83,24,0,1782.5,1364.0,0.016643550624133148,0.04368421052631579,0
223,required,2,0,174,31,1,89.0,15.5,0.021497919556171984,0.09157894736842105,0
224,the,201,1,61,24,1,231.5,13.0,0.016643550624133148,0.032105263157894734,0
225,use,287,7,63,18,1,318.5,16.0,0.012482662968099861,0.03315789473684211,0
226,of,376,2,39,23,1,395.5,13.5,0.0159500693481276,0.020526315789473684,0
227,halteres.,441,1,189,24,1,535.5,13.0,0.016643550624133148,0.09947368421052631,0
228,Galen,661,1,109,24,1,715.5,13.0,0.016643550624133148,0.057368421052631575,0
229,insisted,796,0,172,25,1,882.0,12.5,0.017337031900138695,0.09052631578947369,0
230,that,993,1,83,24,1,1034.5,13.0,0.016643550624133148,0.04368421052631579,0
231,halteres,1101,1,173,24,1,1187.5,13.0,0.016643550624133148,0.09105263157894737,0
232,were,1298,8,86,17,1,1341.0,16.5,0.011789181692094313,0.045263157894736845,0
233,necessary,1409,7,196,23,1,1507.0,18.5,0.0159500693481276,0.1031578947368421,0
234,for,1631,2,60,23,1,1661.0,13.5,0.0159500693481276,0.031578947368421054,0
235,physical,1716,0,173,31,1,1802.5,15.5,0.021497919556171984,0.09105263157894737,0
236,fitness,3,90,149,25,1,77.5,102.5,0.017337031900138695,0.07842105263157895,0
237,because,176,91,152,24,1,252.0,103.0,0.016643550624133148,0.08,0
238,they,355,91,84,29,1,397.0,105.5,0.02011095700416089,0.04421052631578947,0
239,trained,465,90,151,25,1,540.5,102.5,0.017337031900138695,0.07947368421052632,0
240,the,641,91,61,24,1,671.5,103.0,0.016643550624133148,0.032105263157894734,0
241,body,726,91,87,29,1,769.5,105.5,0.02011095700416089,0.045789473684210526,0
242,for,839,92,60,23,1,869.0,103.5,0.0159500693481276,0.031578947368421054,0
243,war.,924,98,80,17,1,964.0,106.5,0.011789181692094313,0.042105263157894736,0
244,The,1036,91,62,24,1,1067.0,103.0,0.016643550624133148,0.03263157894736842,0
245,"Romans,",1123,94,145,25,1,1195.5,106.5,0.017337031900138695,0.07631578947368421,0
246,who,1298,91,64,24,1,1330.0,103.0,0.016643550624133148,0.03368421052631579,0
247,also,1388,91,84,24,1,1430.0,103.0,0.016643550624133148,0.04421052631578947,0
248,had,1497,91,65,24,1,1529.5,103.0,0.016643550624133148,0.034210526315789476,0
249,a,1586,98,19,17,1,1595.5,106.5,0.011789181692094313,0.01,0
250,strong,1631,94,129,27,1,1695.5,107.5,0.01872399445214979,0.06789473684210526,0
251,concern,2,188,152,17,1,78.0,196.5,0.011789181692094313,0.08,0
252,on,178,188,42,17,1,199.0,196.5,0.011789181692094313,0.022105263157894735,0
253,physical,242,180,173,31,1,328.5,195.5,0.021497919556171984,0.09105263157894737,0
254,fitness,443,180,149,25,1,517.5,192.5,0.017337031900138695,0.07842105263157895,0
255,as,618,187,40,18,1,638.0,196.0,0.012482662968099861,0.021052631578947368,0
256,a,684,188,19,17,1,693.5,196.5,0.011789181692094313,0.01,0
257,civic,728,180,106,25,1,781.0,192.5,0.017337031900138695,0.05578947368421053,0
258,"virtue,",858,180,146,29,1,931.0,194.5,0.02011095700416089,0.07684210526315789,0
259,adopted,1036,181,152,30,1,1112.0,196.0,0.020804438280166437,0.08,0
260,the,1213,181,61,24,1,1243.5,193.0,0.016643550624133148,0.032105263157894734,0
261,use,1299,187,63,18,1,1330.5,196.0,0.012482662968099861,0.03315789473684211,0
262,of,1388,182,39,23,1,1407.5,193.5,0.0159500693481276,0.020526315789473684,0
263,halteres,1453,181,173,24,1,1539.5,193.0,0.016643550624133148,0.09105263157894737,0
264,in,1654,180,40,25,1,1674.0,192.5,0.017337031900138695,0.021052631578947368,0
265,their,1719,180,104,25,1,1771.0,192.5,0.017337031900138695,0.05473684210526316,0
266,exercises,2,270,194,25,1,99.0,282.5,0.017337031900138695,0.10210526315789474,0
267,as,222,277,40,18,1,242.0,286.0,0.012482662968099861,0.021052631578947368,0
268,a,288,278,19,17,1,297.5,286.5,0.011789181692094313,0.01,0
269,means,330,277,108,18,1,384.0,286.0,0.012482662968099861,0.056842105263157895,0
270,to,465,274,39,21,1,484.5,284.5,0.014563106796116505,0.020526315789473684,0
271,strengthen,531,271,217,30,1,639.5,286.0,0.020804438280166437,0.11421052631578947,0
272,their,773,270,104,25,1,825.0,282.5,0.017337031900138695,0.05473684210526316,0
273,armies.,904,270,144,25,1,976.0,282.5,0.017337031900138695,0.07578947368421053,0
274,In,69,364,41,21,1,89.5,374.5,0.014563106796116505,0.02157894736842105,0
275,his,133,360,63,25,1,164.5,372.5,0.017337031900138695,0.03315789473684211,0
276,book,220,361,87,24,1,263.5,373.0,0.016643550624133148,0.045789473684210526,0
277,Description,331,360,241,31,1,451.5,375.5,0.021497919556171984,0.1268421052631579,0
278,Of,595,362,40,23,1,615.0,373.5,0.0159500693481276,0.021052631578947368,0
279,"Greece,",661,364,145,25,1,733.5,376.5,0.017337031900138695,0.07631578947368421,0
280,Greek,837,361,108,24,1,891.0,373.0,0.016643550624133148,0.056842105263157895,0
281,geographer,970,361,215,30,1,1077.5,376.0,0.020804438280166437,0.11315789473684211,0
282,Pausanias,1212,360,194,25,1,1309.0,372.5,0.017337031900138695,0.10210526315789474,0
283,defined,1431,360,153,25,1,1507.5,372.5,0.017337031900138695,0.08052631578947368,0
284,halteres,1607,361,173,24,1,1693.5,373.0,0.016643550624133148,0.09105263157894737,0
285,as,1806,367,40,18,1,1826.0,376.0,0.012482662968099861,0.021052631578947368,0
286,"""half",5,451,102,24,1,56.0,463.0,0.016643550624133148,0.05368421052631579,0
287,of,134,452,39,23,1,153.5,463.5,0.0159500693481276,0.020526315789473684,0
288,a,200,458,19,17,1,209.5,466.5,0.011789181692094313,0.01,0
289,"circle,",244,450,144,29,1,316.0,464.5,0.02011095700416089,0.07578947368421053,0
290,but,418,451,64,24,1,450.0,463.0,0.016643550624133148,0.03368421052631579,0
291,elliptical,508,450,215,31,1,615.5,465.5,0.021497919556171984,0.11315789473684211,0
292,and,750,451,64,24,1,782.0,463.0,0.016643550624133148,0.03368421052631579,0
293,made,836,451,86,24,1,879.0,463.0,0.016643550624133148,0.045263157894736845,0
294,so,949,457,39,18,1,968.5,466.0,0.012482662968099861,0.020526315789473684,0
295,that,1015,451,83,24,1,1056.5,463.0,0.016643550624133148,0.04368421052631579,0
296,the,1125,451,61,24,1,1155.5,463.0,0.016643550624133148,0.032105263157894734,0
297,fingers,1213,450,149,31,1,1287.5,465.5,0.021497919556171984,0.07842105263157895,0
298,pass,1386,457,86,24,1,1429.0,469.0,0.016643550624133148,0.045263157894736845,0
299,through,1499,451,151,30,1,1574.5,466.0,0.020804438280166437,0.07947368421052632,0
300,as,1674,457,40,18,1,1694.0,466.0,0.012482662968099861,0.021052631578947368,0
301,they,1741,451,84,29,1,1783.0,465.5,0.02011095700416089,0.04421052631578947,0
302,do,1849,451,41,24,1,1869.5,463.0,0.016643550624133148,0.02157894736842105,0
303,through,3,541,151,30,1,78.5,556.0,0.020804438280166437,0.07947368421052632,0
304,the,179,541,61,24,1,209.5,553.0,0.016643550624133148,0.032105263157894734,0
