,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
0,Serena,68,3,129,22,0,132.5,14.0,0.015256588072122,0.0678947368421052,0
1,Jameka,222,1,129,24,0,286.5,13.0,0.0166435506241331,0.0678947368421052,0
2,Williams,374,0,174,25,0,461.0,12.5,0.0173370319001386,0.091578947368421,0
3,(born,582,1,100,27,0,632.0,14.5,0.0187239944521497,0.0526315789473684,0
4,September,706,1,193,30,0,802.5,16.0,0.0208044382801664,0.101578947368421,0
5,"26,",926,4,56,25,0,954.0,16.5,0.0173370319001386,0.0294736842105263,0
6,1981),1015,1,97,27,0,1063.5,14.5,0.0187239944521497,0.0510526315789473,0
7,is,1148,0,38,25,0,1167.0,12.5,0.0173370319001386,0.02,0
8,an,1212,8,42,17,0,1233.0,16.5,0.0117891816920943,0.0221052631578947,0
9,American,1276,0,176,25,0,1364.0,12.5,0.0173370319001386,0.0926315789473684,0
10,professional,1474,0,261,31,0,1604.5,15.5,0.0214979195561719,0.1373684210526315,0
11,tennis,1763,0,127,25,0,1826.5,12.5,0.0173370319001386,0.0668421052631579,0
12,player.,0,91,146,30,0,73.0,106.0,0.0208044382801664,0.0768421052631578,0
13,The,178,91,62,24,0,209.0,103.0,0.0166435506241331,0.0326315789473684,0
14,Women's,264,94,152,21,0,340.0,104.5,0.0145631067961165,0.08,0
15,Tennis,442,90,128,25,0,506.0,102.5,0.0173370319001386,0.0673684210526315,0
16,Association,594,90,242,25,0,715.0,102.5,0.0173370319001386,0.1273684210526315,0
17,(WTA),868,91,90,27,0,913.0,104.5,0.0187239944521497,0.0473684210526315,0
18,has,991,91,63,24,0,1022.5,103.0,0.0166435506241331,0.0331578947368421,0
19,ranked,1080,91,130,24,0,1145.0,103.0,0.0166435506241331,0.0684210526315789,0
20,her,1233,91,62,24,0,1264.0,103.0,0.0166435506241331,0.0326315789473684,0
21,world,1320,91,110,24,0,1375.0,103.0,0.0166435506241331,0.0578947368421052,0
22,No.,1452,94,58,21,0,1481.0,104.5,0.0145631067961165,0.0305263157894736,0
23,1,1543,94,16,21,0,1551.0,104.5,0.0145631067961165,0.0084210526315789,0
24,in,1588,90,40,25,0,1608.0,102.5,0.0173370319001386,0.0210526315789473,0
25,singles,1653,90,149,31,0,1727.5,105.5,0.0214979195561719,0.0784210526315789,0
26,on,1828,98,42,17,0,1849.0,106.5,0.0117891816920943,0.0221052631578947,0
27,six,3,180,63,25,0,34.5,192.5,0.0173370319001386,0.0331578947368421,0
28,separate,91,184,171,27,0,176.5,197.5,0.0187239944521497,0.09,0
29,occasions.,288,180,210,25,0,393.0,192.5,0.0173370319001386,0.1105263157894736,0
30,She,530,181,62,24,0,561.0,193.0,0.0166435506241331,0.0326315789473684,0
31,became,616,181,130,24,0,681.0,193.0,0.0166435506241331,0.0684210526315789,0
32,the,773,181,61,24,0,803.5,193.0,0.0166435506241331,0.0321052631578947,0
33,world,858,181,110,24,0,913.0,193.0,0.0166435506241331,0.0578947368421052,0
34,No.,990,184,58,21,0,1019.0,194.5,0.0145631067961165,0.0305263157894736,0
35,1,1081,184,16,21,0,1089.0,194.5,0.0145631067961165,0.0084210526315789,0
36,for,1125,182,60,23,0,1155.0,193.5,0.0159500693481276,0.031578947368421,0
37,the,1213,181,61,24,0,1243.5,193.0,0.0166435506241331,0.0321052631578947,0
38,first,1301,180,105,25,0,1353.5,192.5,0.0173370319001386,0.0552631578947368,0
39,time,1433,180,83,25,0,1474.5,192.5,0.0173370319001386,0.0436842105263157,0
40,on,1542,188,42,17,0,1563.0,196.5,0.0117891816920943,0.0221052631578947,0
41,July,1608,181,85,29,0,1650.5,195.5,0.0201109570041608,0.0447368421052631,0
42,"8,",1719,184,33,25,0,1735.5,196.5,0.0173370319001386,0.0173684210526315,0
43,"2002,",1784,184,100,25,0,1834.0,196.5,0.0173370319001386,0.0526315789473684,0
44,and,2,271,64,24,0,34.0,283.0,0.0166435506241331,0.0336842105263157,0
45,achieved,90,270,174,25,0,177.0,282.5,0.0173370319001386,0.091578947368421,0
46,this,289,270,83,25,0,330.5,282.5,0.0173370319001386,0.0436842105263157,0
47,ranking,398,270,152,31,0,474.0,285.5,0.0214979195561719,0.08,0
48,for,575,272,60,23,0,605.0,283.5,0.0159500693481276,0.031578947368421,0
49,the,663,271,61,24,0,693.5,283.0,0.0166435506241331,0.0321052631578947,0
50,sixth,751,270,107,25,0,804.5,282.5,0.0173370319001386,0.0563157894736842,0
51,time,883,270,83,25,0,924.5,282.5,0.0173370319001386,0.0436842105263157,0
52,on,992,278,42,17,0,1013.0,286.5,0.0117891816920943,0.0221052631578947,0
53,February,1058,271,173,29,0,1144.5,285.5,0.0201109570041608,0.0910526315789473,0
54,"18,",1257,274,55,25,0,1284.5,286.5,0.0173370319001386,0.0289473684210526,0
55,2013.,1344,274,100,21,0,1394.0,284.5,0.0145631067961165,0.0526315789473684,0
56,Williams,1474,270,174,25,0,1561.0,282.5,0.0173370319001386,0.091578947368421,0
57,has,1673,271,63,24,0,1704.5,283.0,0.0166435506241331,0.0331578947368421,0
58,spent,1763,274,105,27,0,1815.5,287.5,0.0187239944521497,0.0552631578947368,0
59,256,2,364,61,21,0,32.5,374.5,0.0145631067961165,0.0321052631578947,0
60,weeks,88,361,108,24,0,142.0,373.0,0.0166435506241331,0.0568421052631578,0
61,overall,222,361,149,24,0,296.5,373.0,0.0166435506241331,0.0784210526315789,0
62,as,398,367,40,18,0,418.0,376.0,0.0124826629680998,0.0210526315789473,0
63,the,465,361,61,24,0,495.5,373.0,0.0166435506241331,0.0321052631578947,0
64,WTA,550,364,66,21,0,583.0,374.5,0.0145631067961165,0.0347368421052631,0
65,ranked,640,361,130,24,0,705.0,373.0,0.0166435506241331,0.0684210526315789,0
66,No.,792,364,58,21,0,821.0,374.5,0.0145631067961165,0.0305263157894736,0
67,1,883,364,16,21,0,891.0,374.5,0.0145631067961165,0.0084210526315789,0
68,as,926,367,40,18,0,946.0,376.0,0.0124826629680998,0.0210526315789473,0
69,of,992,362,39,23,0,1011.5,373.5,0.0159500693481276,0.0205263157894736,0
70,August,1056,364,130,27,0,1121.0,377.5,0.0187239944521497,0.0684210526315789,0
71,"30,",1214,364,54,25,0,1241.0,376.5,0.0173370319001386,0.0284210526315789,0
72,"2015,",1300,364,100,25,0,1350.0,376.5,0.0173370319001386,0.0526315789473684,0
73,placing,1430,360,154,31,0,1507.0,375.5,0.0214979195561719,0.0810526315789473,0
74,her,1607,361,62,24,0,1638.0,373.0,0.0166435506241331,0.0326315789473684,0
75,4th,1696,361,64,24,0,1728.0,373.0,0.0166435506241331,0.0336842105263157,0
76,on,1784,368,42,17,0,1805.0,376.5,0.0117891816920943,0.0221052631578947,0
77,the,3,451,61,24,0,33.5,463.0,0.0166435506241331,0.0321052631578947,0
78,List,90,450,84,25,0,132.0,462.5,0.0173370319001386,0.0442105263157894,0
79,of,200,452,39,23,0,219.5,463.5,0.0159500693481276,0.0205263157894736,0
80,WTA,264,454,66,21,0,297.0,464.5,0.0145631067961165,0.0347368421052631,0
81,number,353,451,128,24,0,417.0,463.0,0.0166435506241331,0.0673684210526315,0
82,1,509,454,16,21,0,517.0,464.5,0.0145631067961165,0.0084210526315789,0
83,ranked,552,451,130,24,0,617.0,463.0,0.0166435506241331,0.0684210526315789,0
84,players.,704,451,168,30,0,788.0,466.0,0.0208044382801664,0.0884210526315789,0
85,Williams,902,450,174,25,0,989.0,462.5,0.0173370319001386,0.091578947368421,0
86,is,1104,450,38,25,0,1123.0,462.5,0.0173370319001386,0.02,0
87,regarded,1168,451,174,30,0,1255.0,466.0,0.0208044382801664,0.091578947368421,0
88,by,1364,451,43,29,0,1385.5,465.5,0.0201109570041608,0.0226315789473684,0
89,some,1433,457,83,18,0,1474.5,466.0,0.0124826629680998,0.0436842105263157,0
90,"commentators,",1542,454,276,25,0,1680.0,466.5,0.0173370319001386,0.1452631578947368,0
91,sports,3,544,127,27,0,66.5,557.5,0.0187239944521497,0.0668421052631579,0
92,"writers,",154,540,168,29,0,238.0,554.5,0.0201109570041608,0.0884210526315789,0
93,and,354,541,64,24,0,386.0,553.0,0.0166435506241331,0.0336842105263157,0
94,current,442,544,150,21,0,517.0,554.5,0.0145631067961165,0.0789473684210526,0
95,and,618,541,64,24,0,650.0,553.0,0.0166435506241331,0.0336842105263157,0
96,former,707,542,126,23,0,770.0,553.5,0.0159500693481276,0.0663157894736842,0
97,players,858,541,152,30,0,934.0,556.0,0.0208044382801664,0.08,0
98,as,1036,547,40,18,0,1056.0,556.0,0.0124826629680998,0.0210526315789473,0
99,the,1103,541,61,24,0,1133.5,553.0,0.0166435506241331,0.0321052631578947,0
100,greatest,1190,544,172,27,0,1276.0,557.5,0.0187239944521497,0.0905263157894736,0
101,female,1389,541,127,24,0,1452.5,553.0,0.0166435506241331,0.0668421052631579,0
102,tennis,1543,540,127,25,0,1606.5,552.5,0.0173370319001386,0.0668421052631579,0
103,time,1697,540,83,25,0,1738.5,552.5,0.0173370319001386,0.0436842105263157,1
104,of,1806,542,39,23,0,1825.5,553.5,0.0159500693481276,0.0205263157894736,0
105,all,2,631,61,24,0,32.5,643.0,0.0166435506241331,0.0321052631578947,0
106,players.,88,631,168,30,0,172.0,646.0,0.0208044382801664,0.0884210526315789,1
107,Williams,286,630,174,25,0,373.0,642.5,0.0173370319001386,0.091578947368421,0
108,holds,485,631,107,24,0,538.5,643.0,0.0166435506241331,0.0563157894736842,0
109,the,619,631,61,24,0,649.5,643.0,0.0166435506241331,0.0321052631578947,0
110,most,704,634,86,21,0,747.0,644.5,0.0145631067961165,0.0452631578947368,0
111,major,814,630,107,31,0,867.5,645.5,0.0214979195561719,0.0563157894736842,0
112,"singles,",949,630,165,31,0,1031.5,645.5,0.0214979195561719,0.0868421052631579,0
113,"doubles,",1145,631,167,28,0,1228.5,645.0,0.0194174757281553,0.0878947368421052,0
114,and,1344,631,64,24,0,1376.0,643.0,0.0166435506241331,0.0336842105263157,0
115,mixed,1430,630,110,25,0,1485.0,642.5,0.0173370319001386,0.0578947368421052,0
116,doubles,1563,631,151,24,0,1638.5,643.0,0.0166435506241331,0.0794736842105263,0
117,titles,1741,630,127,25,0,1804.5,642.5,0.0173370319001386,0.0668421052631579,0
118,combined,2,721,174,25,0,89.0,733.5,0.0173370319001386,0.091578947368421,0
