page,image
0,the_voynich_manuscript_control/the_voynich_manuscript_control_page00.png
1,the_voynich_manuscript_control/the_voynich_manuscript_control_page01.png
2,the_voynich_manuscript_control/the_voynich_manuscript_control_page02.png
3,the_voynich_manuscript_control/the_voynich_manuscript_control_page03.png
4,the_voynich_manuscript_control/the_voynich_manuscript_control_page04.png
5,the_voynich_manuscript_control/the_voynich_manuscript_control_page05.png
6,the_voynich_manuscript_control/the_voynich_manuscript_control_page06.png
7,the_voynich_manuscript_control/the_voynich_manuscript_control_page07.png
8,the_voynich_manuscript_control/the_voynich_manuscript_control_page08.png
9,the_voynich_manuscript_control/the_voynich_manuscript_control_page09.png
