,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
0,The,68,1,62,24,0,99.0,13.0,0.0166435506241331,0.0326315789473684,0
1,Voynich,154,0,154,30,0,231.0,15.0,0.0208044382801664,0.0810526315789473,0
2,manuscript,330,0,218,31,0,439.0,15.5,0.0214979195561719,0.1147368421052631,0
3,is,576,0,38,25,0,595.0,12.5,0.0173370319001386,0.02,0
4,an,640,8,42,17,0,661.0,16.5,0.0117891816920943,0.0221052631578947,0
5,illustrated,708,0,238,25,0,827.0,12.5,0.0173370319001386,0.1252631578947368,0
6,codex,970,1,108,24,0,1024.0,13.0,0.0166435506241331,0.0568421052631578,0
7,hand-written,1101,0,263,25,0,1232.5,12.5,0.0173370319001386,0.1384210526315789,0
8,in,1390,0,40,25,0,1410.0,12.5,0.0173370319001386,0.0210526315789473,0
9,an,1454,8,42,17,0,1475.0,16.5,0.0117891816920943,0.0221052631578947,0
10,unknown,1519,1,153,24,0,1595.5,13.0,0.0166435506241331,0.0805263157894736,0
11,writing,1694,0,154,31,0,1771.0,15.5,0.0214979195561719,0.0810526315789473,0
12,system.,3,94,143,26,0,74.5,107.0,0.0180305131761442,0.0752631578947368,0
13,The,178,91,62,24,0,209.0,103.0,0.0166435506241331,0.0326315789473684,0
14,paper,264,98,107,23,0,317.5,109.5,0.0159500693481276,0.0563157894736842,0
15,in,400,90,40,25,0,420.0,102.5,0.0173370319001386,0.0210526315789473,0
16,the,465,91,61,24,0,495.5,103.0,0.0166435506241331,0.0321052631578947,0
17,book,550,91,87,24,0,593.5,103.0,0.0166435506241331,0.0457894736842105,0
18,pages,660,97,108,24,0,714.0,109.0,0.0166435506241331,0.0568421052631578,0
19,has,793,91,63,24,0,824.5,103.0,0.0166435506241331,0.0331578947368421,0
20,been,880,91,88,24,0,924.0,103.0,0.0166435506241331,0.0463157894736842,0
21,carbon-dated,992,91,262,24,0,1123.0,103.0,0.0166435506241331,0.1378947368421052,0
22,to,1279,94,39,21,0,1298.5,104.5,0.0145631067961165,0.0205263157894736,0
23,the,1345,91,61,24,0,1375.5,103.0,0.0166435506241331,0.0321052631578947,0
24,early,1432,91,107,29,0,1485.5,105.5,0.0201109570041608,0.0563157894736842,0
